ORF1	ORF2
YDR113C	YDR113C
YDR113C	YGR098C
YDR118W	YFR036W
YDR118W	YGL240W
YDR118W	YHR166C
YDR118W	YLR102C
YDR118W	YLR127C
YDR118W	YNL172W
YDR118W	YOR249C
YDR128W	YDR128W
YDR129C	YDR129C
YDR129C	YFL039C
YDR130C	YDR130C
YDR131C	YDR131C
YDR138W	YDR138W
YDR142C	YDR142C
YDR142C	YDR244W
YDR142C	YGL153W
YDR143C	YDR143C
YDR146C	YDR146C
YDR159W	YER118C
YDR162C	YNL094W
YDR164C	YNR049C
YDR169C	YOL004W
YDR170C	YJL203W
YDR171W	YDR171W
YDR172W	YLL026W
YDR172W	YMR080C
YDR174W	YHL002W
YDR176W	YDR457W
YDR176W	YGL013C
YDR176W	YHR099W
YDR177W	YDR177W
YDR181C	YDR181C
YDR184C	YIR009W
YDR184C	YLR319C
YDR192C	YER107C
YDR195W	YER032W
YDR200C	YDR200C
YDR201W	YDR201W
YDR207C	YJR094C
YDR207C	YMR139W
YDR216W	YDR448W
YDR216W	YER118C
YDR216W	YGR252W
YDR217C	YDR217C
YDR217C	YPL153C
YDR218C	YDR218C
YDR219C	YDR219C
YDR225W	YDR225W
YDR227W	YDR227W
YDR227W	YMR284W
YDR227W	YNL216W
YDR228C	YER165W
YDR228C	YJR022W
YDR244W	YGL153W
YDR244W	YLR191W
YDR244W	YNL214W
YDR247W	YDR247W
YDR260C	YDR260C
YDR261WA	YDR261WA
YDR264C	YJR086W
YDR264C	YOR212W
YDR264C	YPL242C
YDR266C	YDR266C
YDR267C	YDR267C
YDR267C	YHR152W
YDR270W	YNL259C
YDR277C	YJR022W
YDR306C	YDR306C
YDR309C	YLR229C
YDR313C	YDR313C
YDR316W	YDR316W
YDR321W	YDR321W
YDR322CA	YDR322CA
YDR324C	YDR324C
YDR328C	YDR328C
YDR328C	YJR089W
YDR335W	YDR335W
YDR335W	YLR293C
YDR339C	YDR339C
YDR356W	YKL042W
YDR365C	YDR365C
YDR369C	YDR369C
YDR377W	YPL078C
YDR378C	YOL149W
YDR379W	YDR379W
YDR381W	YDR381W
YDR382W	YFL039C
YDR386W	YDR386W
YDR388W	YDR388W
YDR388W	YFL039C
YDR388W	YJR083C
YDR388W	YKL129C
YDR388W	YLR144C
YDR388W	YMR109W
YDR388W	YMR192W
YDR388W	YNL094W
YDR388W	YPR171W
YDR389W	YGR074W
YDR389W	YPR165W
YDR390C	YGR048W
YDR390C	YKR002W
YDR392W	YDR448W
YDR392W	YER148W
YDR392W	YOL148C
YDR394W	YDR394W
YDR395W	YDR395W
YDR395W	YIL115C
YDR395W	YJL041W
YDR395W	YOR098C
YDR398W	YDR398W
YDR409W	YJL020C
YDR416W	YDR416W
YDR419W	YDR419W
YDR422C	YER029C
YDR436W	YDR436W
YDR460W	YDR460W
YDR464W	YNL135C
YDR477W	YJL089W
YDR477W	YNL257C
YDR480W	YDR480W
YDR482C	YDR482C
YDR488C	YDR488C
YDR490C	YDR490C
YDR490C	YLR466W
YDR498C	YLR268W
YDR498C	YOR075W
YDR499W	YDR499W
YDR507C	YDR507C
YDR507C	YHR107C
YDR507C	YJR076C
YDR507C	YLR314C
YDR510W	YDR510W
YDR520C	YDR520C
YDR523C	YDR523C
YEL003W	YLR200W
YEL003W	YML094W
YEL005C	YEL013W
YEL013W	YFL039C
YEL013W	YHR195W
YEL013W	YPR185W
YEL015W	YEL015W
YEL017W	YEL017W
YEL020WA	YHR005CA
YEL021W	YEL021W
YEL032W	YEL032W
YEL036C	YJR075W
YEL036C	YPL050C
YEL037C	YER012W
YEL037C	YKL145W
YEL037C	YOR157C
YEL043W	YEL043W
YEL046C	YEL046C
YEL061C	YEL061C
YEL066W	YEL066W
YER007W	YER007W
YER012W	YER012W
YER013W	YLR116W
YER016W	YML085C
YER017C	YER017C
YER017C	YMR089C
YER020W	YER020W
YER023W	YER023W
YER025W	YER025W
YER029C	YLR220W
YER029C	YNL187W
YER031C	YGR172C
YER031C	YPR017C
YER032W	YHR114W
YER032W	YHR152W
YER032W	YJL020C
YER032W	YLR456W
YER040W	YER118C
YER041W	YER041W
YER047C	YER161C
YER047C	YMR032W
YER054C	YER054C
YER059W	YER059W
YER066CA	YER066CA
YER070W	YER070W
YER070W	YML058W
YER075C	YER075C
YER082C	YER118C
YER086W	YER086W
YER095W	YGL163C
YER100W	YER100W
YER105C	YIL061C
YER107C	YNL189W
YER110C	YLR293C
YER110C	YML007W
YER111C	YLR182W
YER111C	YPR119W
YER112W	YER112W
YER112W	YGL173C
YER114C	YER118C
YER114C	YER124C
YER117W	YER117W
YER118C	YER118C
YER118C	YGL173C
YER118C	YGR178C
YER118C	YHL002W
YER118C	YJL128C
YER118C	YLR096W
YER118C	YLR314C
YER118C	YMR032W
YER118C	YMR109W
YER118C	YNL139C
YER118C	YOR181W
YER118C	YPR171W
YER125W	YER125W
YER125W	YOR181W
YER133W	YER133W
YER133W	YLR263W
YER133W	YOR178C
YER142C	YER142C
YER146W	YOL149W
YER148W	YGR246C
YER148W	YKL058W
YER148W	YOR194C
YER149C	YLL021W
YER153C	YGR222W
YER161C	YER161C
YER161C	YHR166C
YER162C	YJR052W
YER165W	YER165W
YER165W	YGL044C
YER165W	YGL049C
YER165W	YGR162W
YER165W	YGR178C
YER165W	YMR061W
YER165W	YOL139C
YER172C	YIL061C
YER172C	YMR240C
YER173W	YER173W
YER177W	YER177W
YER179W	YER179W
YER179W	YLR127C
YER179W	YOR191W
YFL005W	YNL272C
YFL008W	YFR031C
YFL008W	YIL144W
YFL008W	YOL115W
YFL009W	YFL009W
YFL009W	YJL194W
YFL014W	YFL014W
YFL016C	YFL016C
YFL016C	YIL061C
YFL016C	YJR045C
YFL016C	YOR232W
YFL028C	YFL028C
YFL031W	YFL031W
YFL033C	YFL033C
YFL034CB	YFL034CB
YFL034W	YFL034W
YFL037W	YML085C
YFL037W	YNL223W
YFL037W	YOR265W
YFL038C	YFL038C
YFL038C	YGR172C
YFL039C	YFL039C
YFL039C	YGR080W
YFL039C	YHR179W
YFL039C	YIL138C
YFL039C	YLR319C
YFL039C	YMR092C
YFL039C	YNL271C
YFL039C	YOR122C
YFL039C	YOR181W
YFL039C	YPL242C
YFL059W	YFL059W
YFL059W	YFL060C
YFR002W	YGL172W
YFR002W	YGR119C
YFR002W	YJL039C
YFR002W	YML103C
YFR003C	YFR003C
YFR014C	YFR014C
YFR015C	YFR015C
YFR016C	YFR016C
YFR024C	YGL104C
YFR024C	YGR268C
YFR024C	YJL004C
YFR024C	YJL151C
YFR024C	YJR083C
YFR024C	YKR030W
YFR024C	YLR078C
YFR024C	YLR144C
YFR024C	YMR192W
YFR024C	YMR253C
YFR024C	YNL094W
YFR024C	YOR181W
YFR024C	YOR284W
YFR024C	YPL246C
YFR024C	YPR171W
YFR024CA	YFR024CA
YFR027W	YFR027W
YFR031C	YFR031C
YFR031C	YIL144W
YFR031C	YOL115W
YFR034C	YFR034C
YFR036W	YGL240W
YFR036W	YHR166C
YFR036W	YKL022C
YFR036W	YLR127C
YFR036W	YNL172W
YFR036W	YOR249C
YFR037C	YFR037C
YFR037C	YOR290C
YFR039C	YIL061C
YFR040W	YFR040W
YFR047C	YFR047C
YGL003C	YGL003C
YGL004C	YGL004C
YGL013C	YGL013C
YGL016W	YKL058W
YGL016W	YLR335W
YGL016W	YOR098C
YGL016W	YOR194C
YGL019W	YGL019W
YGL035C	YGL035C
YGL035C	YKL074C
YGL035C	YMR240C
YGL037C	YGL037C
YGL040C	YGL040C
YGL043W	YJR132W
YGL044C	YOL123W
YGL048C	YPL248C
YGL058W	YGL058W
YGL058W	YGR184C
YGL068W	YGL068W
YGL081W	YGL081W
YGL086W	YGL086W
YGL087C	YGL087C
YGL090W	YGL090W
YGL092W	YLR347C
YGL094C	YIR006C
YGL096W	YJR022W
YGL097W	YGR218W
YGL097W	YIL063C
YGL100W	YGL100W
YGL104C	YHR114W
YGL105W	YGR264C
YGL105W	YKL205W
YGL116W	YGL116W
YGL116W	YKL101W
YGL122C	YGL122C
YGL131C	YGL131C
YGL145W	YOR075W
YGL153W	YGL153W
YGL153W	YLR191W
YGL153W	YNL214W
YGL158W	YGL158W
YGL163C	YGL163C
YGL172W	YJL041W
YGL173C	YJR022W
YGL173C	YLR438CA
YGL174W	YGL174W
YGL175C	YGL175C
YGL178W	YGR040W
YGL178W	YLR452C
YGL179C	YGL179C
YGL198W	YGL198W
YGL200C	YIL109C
YGL200C	YPL218W
YGL200C	YPR181C
YGL202W	YGR074W
YGL206C	YHR161C
YGL207W	YNL102W
YGL208W	YGL208W
YGL213C	YGL213C
YGL220W	YGL220W
YGL221C	YGL221C
YGL234W	YPR154W
YGL236C	YMR023C
YGL237C	YGL237C
YGL238W	YLR293C
YGL238W	YNL189W
YGL240W	YOR249C
YGL253W	YGL253W
YGR009C	YMR183C
YGR009C	YOR327C
YGR009C	YPL232W
YGR009C	YPR032W
YGR010W	YGR010W
YGR024C	YGR024C
YGR040W	YGR040W
YGR041W	YGR041W
YGR047C	YGR246C
YGR048W	YJL020C
YGR048W	YKR002W
YGR048W	YPR154W
YGR052W	YGR052W
YGR054W	YGR054W
YGR056W	YOR319W
YGR058W	YGR058W
YGR067C	YGR067C
YGR072W	YHR077C
YGR074W	YJR033C
YGR074W	YKL188C
YGR074W	YKL205W
YGR074W	YLR440C
YGR082W	YMR203W
YGR082W	YNL131W
YGR083C	YGR083C
YGR089W	YGR089W
YGR092W	YGR092W
YGR092W	YNR052C
YGR097W	YGR097W
YGR136W	YNL094W
YGR140W	YGR140W
YGR140W	YJR089W
YGR140W	YNL307C
YGR144W	YGR144W
YGR162W	YOR276W
YGR167W	YHR161C
YGR173W	YGR173W
YGR191W	YPL218W
YGR192C	YKL129C
YGR203W	YIL061C
YGR218W	YGR218W
YGR218W	YLR293C
YGR222W	YNR045W
YGR223C	YGR223C
YGR246C	YNR003C
YGR252W	YGR252W
YGR258C	YGR258C
YGR262C	YGR262C
YGR267C	YGR267C
YGR268C	YGR268C
YGR280C	YGR280C
YGR290W	YLR147C
YHL002W	YIL156W
YHL002W	YKL213C
YHL002W	YMR109W
YHL002W	YMR275C
YHL002W	YNL239W
YHL002W	YOR076C
YHL002W	YPR115W
YHL002W	YPR171W
YHL007C	YJL203W
YHL007C	YLR229C
YHL010C	YHL010C
YHL018W	YHL018W
YHL027W	YMR032W
YHL031C	YLR026C
YHR005C	YLR362W
YHR014W	YHR014W
YHR015W	YPL169C
YHR016C	YJL004C
YHR016C	YJL151C
YHR016C	YJR083C
YHR016C	YKR030W
YHR016C	YLR064W
YHR016C	YLR144C
YHR016C	YMR192W
YHR016C	YNL094W
YHR016C	YOR284W
YHR016C	YPL246C
YHR023W	YIL061C
YHR023W	YPR032W
YHR025W	YHR025W
YHR030C	YHR030C
YHR030C	YOR231W
YHR030C	YPL089C
YHR034C	YJR022W
YHR035W	YJR022W
YHR052W	YHR052W
YHR060W	YKL119C
YHR060W	YOR270C
YHR061C	YHR061C
YHR061C	YLR229C
YHR071W	YPL031C
YHR072WA	YHR089C
YHR073W	YHR073W
YHR073W	YHR152W
YHR074W	YHR074W
YHR077C	YMR080C
YHR079C	YIL061C
YHR082C	YHR082C
YHR099W	YIR009W
YHR099W	YLR055C
YHR102W	YOR257W
YHR105W	YHR105W
YHR107C	YHR107C
YHR107C	YLR147C
YHR111W	YHR111W
YHR113W	YHR113W
YHR114W	YIL156W
YHR114W	YJL151C
YHR114W	YJR090C
YHR114W	YKL129C
YHR114W	YKR030W
YHR114W	YLR064W
YHR114W	YLR078C
YHR114W	YMR109W
YHR114W	YMR253C
YHR114W	YNL078W
YHR114W	YNL094W
YHR114W	YPL246C
YHR115C	YHR115C
YHR119W	YHR119W
YHR119W	YLR288C
YHR120W	YHR120W
YHR128W	YHR152W
YHR135C	YHR135C
YHR143WA	YPR010C
YHR152W	YHR152W
YHR152W	YJL168C
YHR152W	YJR148W
YHR152W	YLR016C
YHR152W	YLR132C
YHR152W	YLR288C
YHR152W	YPR152C
YHR156C	YOR181W
YHR158C	YHR158C
YHR161C	YIR006C
YHR164C	YKL113C
YHR166C	YHR166C
YHR166C	YLR102C
YHR166C	YOR249C
YHR169W	YHR169W
YHR170W	YMR080C
YHR171W	YHR171W
YHR178W	YLR147C
YHR178W	YOL004W
YHR183W	YHR183W
YHR184W	YHR184W
YHR186C	YHR186C
YHR188C	YHR188C
YHR196W	YHR196W
YHR197W	YHR197W
YHR197W	YIR009W
YHR199C	YHR199C
YHR206W	YHR206W
YHR209W	YOR319W
YIL004C	YIL004C
YIL004C	YIL109C
YIL004C	YPR181C
YIL007C	YIL007C
YIL021W	YNL113W
YIL022W	YJR045C
YIL022W	YNR017W
YIL035C	YIL035C
YIL045W	YLR258W
YIL046W	YIL046W
YIL046W	YJL187C
YIL047C	YOR212W
YIL061C	YLR017W
YIL061C	YLR153C
YIL061C	YLR213C
YIL061C	YML016C
YIL061C	YMR009W
YIL061C	YMR044W
YIL061C	YNL199C
YIL061C	YNR016C
YIL061C	YOL004W
YIL061C	YOR275C
YIL061C	YOR346W
YIL061C	YPL016W
YIL061C	YPL215W
YIL063C	YIL063C
YIL063C	YLR293C
YIL066C	YIL066C
YIL072W	YIL072W
YIL072W	YLR263W
YIL074C	YIL074C
YIL079C	YIL079C
YIL095W	YIL095W
YIL108W	YPR154W
YIL113W	YIL113W
YIL115C	YJR132W
YIL115C	YOR160W
YIL122W	YIL122W
YIL128W	YIL128W
YIL130W	YLR116W
YIL131C	YIL131C
YIL138C	YIL138C
YIL139C	YLR147C
YIL142W	YIL142W
YIL143C	YIL143C
YIL143C	YIR009W
YIL144W	YIL144W
YIL144W	YLR456W
YIL144W	YMR117C
YIL147C	YIL147C
YIL156W	YKL129C
YIL156W	YMR109W
YIL159W	YKL129C
YIL159W	YKR055W
YIL159W	YLL016W
YIL159W	YLR191W
YIL159W	YLR310C
YIL159W	YMR032W
YIL159W	YMR109W
YIL159W	YOR122C
YIL173W	YJR022W
YIR003W	YJL020C
YIR005W	YIR005W
YIR006C	YNL084C
YIR009W	YJL092W
YIR009W	YKR099W
YIR009W	YLR067C
YIR009W	YLR433C
YIR009W	YLR456W
YIR009W	YNL036W
YIR009W	YNL091W
YIR009W	YOR011W
YIR009W	YOR017W
YIR009W	YPL016W
YIR012W	YLR075W
YIR017C	YJR060W
YIR017C	YNL103W
YIR018W	YIR018W
YIR032C	YIR032C
YIR034C	YIR034C
YIR038C	YIR038C
YJL020C	YJL020C
YJL020C	YKL129C
YJL020C	YMR032W
YJL020C	YMR109W
YJL020C	YNL023C
YJL020C	YNL094W
YJL020C	YOR081C
YJL020C	YOR156C
YJL020C	YOR181W
YJL020C	YPR184W
YJL026W	YJL026W
YJL034W	YJL034W
YJL034W	YOR254C
YJL035C	YLR316C
YJL041W	YLR293C
YJL042W	YJL042W
YJL044C	YJL044C
YJL053W	YJL154C
YJL054W	YOR297C
YJL068C	YJL068C
YJL089W	YJL089W
YJL090C	YJL090C
YJL090C	YKL108W
YJL092W	YJL092W
YJL095W	YJL095W
YJL095W	YKL129C
YJL095W	YMR109W
YJL095W	YOR231W
YJL098W	YJL098W
YJL106W	YJL106W
YJL110C	YJL110C
YJL110C	YKR034W
YJL112W	YJL112W
YJL124C	YOL149W
YJL128C	YJL128C
YJL128C	YLR113W
YJL128C	YLR362W
YJL137C	YJL137C
YJL141C	YJL141C
YJL143W	YJR045C
YJL143W	YNR017W
YJL149W	YJL149W
YJL154C	YOR069W
YJL154C	YOR132W
YJL157C	YJL157C
YJL157C	YLR229C
YJL157C	YOR212W
YJL164C	YJL164C
YJL165C	YJL165C
YJL167W	YJL167W
YJL173C	YJL173C
YJL187C	YJL187C
YJL199C	YJL199C
YJL203W	YKR090W
YJL203W	YLR067C
YJL203W	YMR285C
YJL203W	YNR053C
YJL203W	YOL091W
YJL203W	YOL136C
YJL218W	YJL218W
YJR005W	YLR116W
YJR007W	YJR007W
YJR010W	YJR010W
YJR017C	YJR017C
YJR021C	YJR021C
YJR022W	YJR022W
YJR022W	YLR438CA
YJR022W	YNL050C
YJR022W	YNL118C
YJR022W	YNR050C
YJR022W	YNR053C
YJR022W	YOR076C
YJR024C	YJR024C
YJR032W	YNL330C
YJR035W	YJR035W
YJR042W	YJR042W
YJR043C	YJR043C
YJR043C	YNL102W
YJR045C	YJR045C
YJR045C	YOR232W
YJR050W	YJR050W
YJR052W	YJR052W
YJR053W	YJR053W
YJR056C	YJR056C
YJR060W	YNL103W
YJR061W	YJR061W
YJR062C	YJR062C
YJR066W	YLR116W
YJR076C	YJR076C
YJR083C	YJR083C
YJR090C	YJR090C
YJR094C	YJR094C
YJR103W	YJR103W
YJR110W	YJR110W
YJR121W	YJR121W
YJR132W	YMR080C
YJR132W	YOR098C
YKL006CA	YLR026C
YKL011C	YKL011C
YKL012W	YLR116W
YKL020C	YKL020C
YKL021C	YKL021C
YKL022C	YKL022C
YKL022C	YLR102C
YKL022C	YOR249C
YKL035W	YKL035W
YKL042W	YKL042W
YKL048C	YKL048C
YKL068W	YLR347C
YKL074C	YLR116W
YKL074C	YLR357W
YKL074C	YML046W
YKL074C	YPL016W
YKL074C	YPL105C
YKL078W	YKL078W
YKL103C	YKL103C
YKL108W	YKL108W
YKL113C	YKL113C
YKL117W	YPL240C
YKL119C	YOR270C
YKL129C	YKL152C
YKL129C	YKR069W
YKL129C	YNL271C
YKL129C	YOR181W
YKL129C	YOR247W
YKL130C	YKL130C
YKL142W	YKL142W
YKL150W	YPR154W
YKL152C	YMR109W
YKL161C	YKL161C
YKL166C	YKL166C
YKL189W	YKL189W
YKL190W	YKL190W
YKL196C	YLR026C
YKL210W	YKL210W
YKL214C	YKL214C
YKL215C	YKL215C
YKR010C	YOL006C
YKR034W	YKR034W
YKR036C	YKR036C
YKR055W	YKR055W
YKR069W	YMR109W
YKR080W	YLR147C
YKR084C	YLR456W
YKR101W	YML065W
YLL001W	YLL001W
YLL010C	YLL010C
YLL011W	YLL011W
YLL016W	YOR197W
YLL019C	YLL019C
YLL021W	YLR147C
YLL021W	YLR319C
YLL021W	YLR362W
YLL021W	YOR231W
YLL021W	YPL140C
YLL024C	YLR310C
YLL026W	YLL026W
YLL036C	YLL036C
YLL039C	YPR154W
YLL050C	YLL050C
YLL057C	YLL057C
YLL060C	YLL060C
YLR006C	YLR006C
YLR014C	YLR014C
YLR016C	YLR016C
YLR019W	YLR019W
YLR025W	YLR025W
YLR025W	YLR191W
YLR026C	YLR268W
YLR026C	YMR197C
YLR027C	YLR027C
YLR032W	YLR032W
YLR045C	YLR045C
YLR070C	YLR070C
YLR078C	YLR268W
YLR082C	YLR082C
YLR090W	YMR240C
YLR093C	YOR106W
YLR096W	YLR096W
